STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,subjnmon,Subjective and non-monetary indicator,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SI,Slovenia,2022,,10.2,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SI,Slovenia,2023,,10.4,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SI,Slovenia,2024,,8.3,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SK,Slovakia,2021,,0.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SK,Slovakia,2022,,1.1,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SK,Slovakia,2023,,2.0,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,SK,Slovakia,2024,,1.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,TR,Türkiye,2021,,1.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,TR,Türkiye,2022,,0.8,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,TR,Türkiye,2023,,1.6,,,,,
dataflow,ESTAT:ILC_MDES09(1.0),Inability to make ends meet,A,Annual,PC,Percentage,EM_E,Households making ends meet easily,TOTAL,Total,B_MD60,Below 60% of median equivalised income,TR,Türkiye,2024,,0.8,,,,,
