STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2023,,2.6,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2024,,3.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2020,,6.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2021,,6.7,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2022,,6.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2023,,8.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2024,,8.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2020,,5.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2021,,7.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2022,,6.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2023,,5.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2024,,4.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2020,,5.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2021,,6.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2022,,6.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2023,,5.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2024,,5.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2020,,14.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2021,,9.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2022,,18.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2023,,14.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2024,,15.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2020,,28.1,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2021,,23.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2022,,23.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2023,,17.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2020,,4.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2021,,5.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2022,,6.2,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2023,,6.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2024,,7.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2020,,10.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2021,,9.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2022,,7.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2023,,7.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2024,,7.5,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2020,,6.7,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2021,,6.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2022,,8.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2023,,8.8,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2024,,8.4,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2020,,29.9,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2021,,33.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2022,,25.0,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2023,,26.3,,,,,
dataflow,ESTAT:ILC_MDES05(1.0),"Arrears (mortgage or rent, utility bills or hire purchase) from 2003 onwards",A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2024,,20.6,,,,,
