STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,incgrp,Income situation in relation to the risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2020,,19.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2021,,18.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2022,,21.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2023,,21.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2024,,22.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2020,,29.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2021,,24.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2022,,24.6,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2023,,22.7,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2024,,23.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2020,,26.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2021,,27.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2022,,27.0,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2023,,29.3,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,SK,Slovakia,2024,,28.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2020,,32.2,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2021,,33.4,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2022,,31.1,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2023,,31.8,,,,,
dataflow,ESTAT:ILC_MDES04(1.0),Inability to face unexpected financial expenses,A,Annual,TOTAL,Total,TOTAL,Total,PC,Percentage,TR,Türkiye,2024,,26.8,,,,,
